Source,Target,Weight,Type
25,16,0.0017196905,undirected
25,17,0.079105761,undirected
25,18,0.027515047,undirected
25,19,0.016337059,undirected
25,20,0.0077386071,undirected
25,24,0.32072227,undirected
26,0,0.027657736,undirected
26,2,0.076058773,undirected
26,3,0.00086430424,undirected
26,5,0.010371651,undirected
26,6,0.0060501296,undirected
26,9,0.041486603,undirected
26,11,0.10717373,undirected
26,12,0.27571305,undirected
26,15,0.040622299,undirected
26,16,0.00086430424,undirected
26,17,0.063958513,undirected
26,18,0.011235955,undirected
26,21,0.0034572169,undirected
27,0,0.010835913,undirected
27,2,0.093653251,undirected
27,6,0.0054179567,undirected
27,11,0.075851393,undirected
27,13,0.0046439628,undirected
27,16,0.003869969,undirected
27,17,0.060371517,undirected
27,18,0.38080495,undirected
27,19,0.019349845,undirected
28,0,0.12802498,undirected
28,1,0.006245121,undirected
28,2,0.085870414,undirected
28,3,0.00078064012,undirected
28,5,0.0054644809,undirected
28,6,0.0046838407,undirected
28,10,0.040593286,undirected
28,11,0.06167057,undirected
28,13,0.0023419204,undirected
28,14,0.0070257611,undirected
28,16,0.0023419204,undirected
28,17,0.032006245,undirected
28,18,0.0093676815,undirected
28,20,0.26307572,undirected
28,24,0.006245121,undirected
29,0,0.008,undirected
29,2,0.064,undirected
29,5,0.026,undirected
29,7,0.238,undirected
29,10,0.01,undirected
29,11,0.106,undirected
29,12,0.054,undirected
29,15,0.104,undirected
29,17,0.042,undirected
29,18,0.002,undirected
29,21,0.006,undirected
30,0,0.0078895464,undirected
30,2,0.071005917,undirected
30,3,0.0088757396,undirected
30,5,0.00098619329,undirected
30,6,0.0019723866,undirected
30,8,0.35404339,undirected
30,9,0.0029585799,undirected
30,10,0.034516765,undirected
30,11,0.078895464,undirected
30,12,0.0049309665,undirected
30,13,0.00098619329,undirected
30,15,0.0019723866,undirected
30,17,0.070019724,undirected
30,20,0.00098619329,undirected
30,23,0.0019723866,undirected
30,24,0.00098619329,undirected
31,0,0.015939597,undirected
31,2,0.083892617,undirected
31,3,0.015100671,undirected
31,5,0.010067114,undirected
31,8,0.0058724832,undirected
31,11,0.063758389,undirected
31,12,0.0033557047,undirected
31,14,0.36241611,undirected
31,15,0.043624161,undirected
31,17,0.057885906,undirected
31,20,0.0016778523,undirected
31,21,0.016778523,undirected
31,22,0.0033557047,undirected
32,0,0.0035149385,undirected
32,2,0.082601054,undirected
32,3,0.0052724077,undirected
32,5,0.29349736,undirected
32,11,0.16344464,undirected
32,13,0.007029877,undirected
32,15,0.024604569,undirected
32,16,0.0017574692,undirected
32,17,0.017574692,undirected
33,0,0.01320132,undirected
33,2,0.04290429,undirected
33,3,0.001650165,undirected
33,7,0.32838284,undirected
33,11,0.12211221,undirected
33,12,0.04290429,undirected
33,14,0.001650165,undirected
33,15,0.024752475,undirected
33,17,0.041254125,undirected
33,21,0.03630363,undirected
33,23,0.014851485,undirected
34,2,0.086866598,undirected
34,3,0.25129266,undirected
34,7,0.011375388,undirected
34,9,0.029989659,undirected
34,10,0.010341262,undirected
34,11,0.12099276,undirected
34,12,0.0082730093,undirected
34,13,0.021716649,undirected
34,15,0.019648397,undirected
34,17,0.022750776,undirected
34,20,0.0031023785,undirected
34,22,0.011375388,undirected
34,23,0.011375388,undirected
35,0,0.0085470085,undirected
35,2,0.066666667,undirected
35,3,0.0068376068,undirected
35,5,0.013675214,undirected
35,6,0.0068376068,undirected
35,8,0.0051282051,undirected
35,11,0.13504274,undirected
35,13,0.31111111,undirected
35,17,0.018803419,undirected
35,20,0.0017094017,undirected
35,21,0.0034188034,undirected
35,23,0.035897436,undirected
35,24,0.0017094017,undirected
36,0,0.023686158,undirected
36,2,0.093264249,undirected
36,5,0.0059215396,undirected
36,10,0.029607698,undirected
36,11,0.067357513,undirected
36,12,0.0022205774,undirected
36,15,0.019245004,undirected
36,17,0.096965211,undirected
36,20,0.0014803849,undirected
36,21,0.0066617321,undirected
36,22,0.0014803849,undirected
36,23,0.3042191,undirected
37,0,0.030346821,undirected
37,1,0.031069364,undirected
37,2,0.088150289,undirected
37,3,0.018063584,undirected
37,6,0.26734104,undirected
37,9,0.018063584,undirected
37,10,0.0050578035,undirected
37,11,0.054913295,undirected
37,12,0.0093930636,undirected
37,13,0.0014450867,undirected
37,15,0.01083815,undirected
37,16,0.0079479769,undirected
37,17,0.071531792,undirected
37,19,0.0043352601,undirected
37,21,0.0072254335,undirected
37,23,0.0079479769,undirected
38,0,0.024070022,undirected
38,2,0.070751276,undirected
38,7,0.0080233406,undirected
38,11,0.041575492,undirected
38,12,0.0007293946,undirected
38,13,0.016776076,undirected
38,15,0.03646973,undirected
